DeviceID,BrandID,ModelID,DisplayID,CameraID,ConnectivityID,OSID,PhysicalSpecID,ReleasedYear,ReleasedAnnounced
12226,297,12328,2532,11207,314,163,6927,2017,2017-11-05
12227,244,12329,2452,10209,252,279,6928,2017,2017-03-07
12228,244,12330,2452,10901,249,152,6921,2017,2017-05-18
12229,244,12331,1511,10028,251,279,6925,2017,2017-03-27
12230,244,12332,2436,10795,311,279,6929,2016,2016-11-16
12231,244,12333,2173,10795,276,152,6930,2017,2017-09-29
12232,244,12334,1511,11239,430,152,6931,2017,2017-07-13
12233,45,12335,1663,10365,282,325,5636,2017,2017-10-31
12234,49,12336,2516,11225,212,291,6854,2017,2017-07-01
12235,89,12337,2518,10030,427,393,6932,2017,2017-10-31
12236,13,12338,2510,11217,212,370,6800,2017,2017-10-26
12237,244,12339,1985,10919,307,152,6933,2017,2017-09-28
12238,298,12340,2315,11240,314,152,6934,2017,2017-11-06
12239,13,12341,2524,11217,212,370,6883,2017,2017-10-26
12240,13,12342,2404,10928,212,256,6935,2017,2017-10-25
12241,21,12343,2533,11241,115,191,6936,2017,2017-11-07
12242,11,12344,2117,10552,276,252,6937,2017,2017-11-06
12243,244,12345,2534,10795,307,152,6938,2017,2017-07-01
12244,2,12346,2281,10635,245,402,6939,2017,2017-09-12
12245,2,12347,2281,10635,273,402,6940,2017,2017-09-12
12246,244,12348,1511,10792,431,152,6941,2017,2017-09-07
12247,244,12349,2535,11242,432,279,6942,2017,2017-10-27
12248,31,12350,2536,10079,206,240,6943,2016,2016-10-16
12249,108,12351,2200,11129,126,383,6944,2017,2017-07-01
12250,45,12352,2400,10795,255,191,6945,2017,2017-11-05
12251,104,12353,2125,10209,212,403,6946,2017,2017-10-08
12252,108,12354,2051,10704,433,388,6947,2017,2017-10-07
12253,11,12355,1761,10687,115,325,6948,2017,2017-08-17
12254,11,12356,1761,11243,115,325,6948,2017,2017-08-17
12255,11,12357,1761,11243,116,325,6949,2017,2017-08-17
12256,11,12358,1761,11243,115,325,6948,2017,2017-08-17
12257,156,12359,2522,10926,370,282,6875,2017,2017-11-02
12258,31,12360,2188,10956,193,312,5449,2017,2017-10-16
12259,156,12361,2531,11150,126,312,6950,2017,2017-11-02
12260,89,12362,2518,10030,427,393,6951,2017,2017-10-31
12261,42,12363,2376,10029,154,156,6952,2017,2017-10-27
12262,42,12364,2376,10029,154,156,6953,2017,2017-10-27
12263,298,12365,2463,11244,314,152,6954,2017,2017-10-17
12264,31,12366,2537,10956,193,312,6955,2017,2017-11-02
12265,120,12367,1762,10636,245,216,6956,2017,2017-09-12
12266,120,12368,1761,10635,245,216,6957,2017,2017-09-12
12267,120,12369,1762,10636,273,216,6958,2017,2017-09-12
12268,120,12370,1761,10635,273,216,6959,2017,2017-09-12
12269,299,12371,2538,10040,434,28,6960,2015,2015-03-20
12270,41,12372,2019,11245,327,197,6961,2017,2017-07-01
12271,45,12373,1663,10365,282,325,5636,2017,2017-10-31
12272,41,12374,1784,10532,258,197,6962,2017,2017-07-01
12273,31,12375,2195,10910,282,252,6963,2017,2017-10-25
12274,50,12376,1774,10030,401,162,6964,2016,2016-07-01
12275,300,12377,1663,11086,435,260,6965,2017,2017-07-01
12276,120,12378,1761,10635,273,216,6959,2017,2017-09-12
12277,120,12379,1762,10636,273,216,6956,2017,2017-09-12
12278,31,12380,2537,10956,193,312,6966,2017,2017-10-16
12279,108,12381,1886,10028,180,315,6967,2017,2017-07-01
12280,298,12382,1499,10165,382,152,6968,2017,2017-07-01
12281,301,12383,2240,11246,369,279,6969,2017,2017-03-24
12282,301,12384,1784,11246,369,279,6970,2017,2017-02-26
12283,298,12385,2376,11247,249,279,6971,2016,2016-11-01
12284,108,12386,2444,11160,193,342,6972,2017,2017-10-25
12285,5,12387,1686,10575,115,195,6663,2018,2017-12-19
12286,5,12388,1497,10435,322,152,6973,2017,2017-10-27
12287,31,12389,2195,10910,282,252,6963,2017,2017-07-01
12288,31,12390,2514,10030,212,292,6828,2018,2018-07-01
12289,108,12391,2539,10917,212,378,6974,2017,2017-10-24
12290,301,12392,2245,11248,369,279,6975,2017,2017-03-17
12291,298,12393,1511,11249,314,279,6976,2017,2017-04-04
12292,301,12394,2452,11248,249,152,6977,2017,2017-08-08
12293,301,12395,2452,10308,382,279,6978,2017,2017-07-01
12294,298,12396,2504,11247,382,279,6979,2016,2016-11-01
12295,298,12397,2452,11250,249,279,6980,2017,2017-06-16
12296,298,12398,2452,11251,180,152,6981,2017,2017-07-01
12297,108,12399,1886,10028,305,252,6335,2017,2017-10-24
12298,31,12400,2328,10121,282,357,6848,2017,2017-10-11
12299,31,12401,1511,10795,314,343,6982,2017,2017-07-01
12300,72,12402,2480,11188,126,325,6983,2017,2017-10-26
12301,7,12403,2540,10671,330,325,6984,2017,2017-06-02
12302,23,12404,1511,10029,436,156,6985,2017,2017-10-10
12303,11,12405,2481,11189,288,325,6986,2017,2017-09-16
12304,108,12406,2200,11129,285,314,6835,2017,2017-11-21
12305,30,12407,2541,10365,437,155,6987,2017,2017-10-18
12306,42,12408,2542,11252,183,282,6988,2017,2017-10-18
12307,108,12409,2200,11129,285,314,6835,2018,2017-10-18
12308,31,12410,2049,10040,438,404,6989,2017,2017-10-21
12309,72,12411,2465,11047,288,191,6990,2017,2017-10-24
12310,31,12412,2188,10956,193,312,6339,2017,2017-10-16
12311,129,12413,1761,10715,193,191,5874,2017,2017-10-09
12312,302,12414,2543,10881,364,162,6991,2017,2017-07-01
12313,302,12415,2543,10881,282,162,6992,2017,2017-07-01
12314,302,12416,2544,10886,313,162,6993,2017,2017-07-01
12315,303,12417,1511,11253,251,279,6994,2016,2016-08-02
12316,137,12418,2505,11212,116,282,6772,2017,2017-10-13
12317,45,12419,2019,11211,115,191,6995,2017,2017-10-19
12318,156,12420,2531,11150,126,312,6996,2017,2017-11-02
12319,304,12421,2057,11254,249,405,6997,2015,2015-07-01
12320,304,12422,1511,11255,375,405,6998,2015,2015-07-01
12321,41,12423,1976,10685,154,197,6999,2017,2017-10-21
12322,41,12424,1886,10029,154,240,7000,2016,2016-12-06
12323,194,12425,2493,10711,314,152,7001,2017,2017-06-01
12324,194,12426,1886,10443,314,162,7002,2017,2017-04-01
12325,194,12427,1511,10443,314,162,7003,2017,2017-05-08
12326,194,12428,2545,11062,314,292,7004,2017,2017-03-05
12327,41,12429,1886,10263,180,197,7005,2017,2017-10-10
12328,173,12430,1886,11256,249,162,7006,2016,2016-09-01
12329,173,12431,1511,11257,249,162,7007,2016,2016-07-01
12330,173,12432,1511,11258,249,162,7008,2016,2016-08-01
12331,173,12433,1511,11259,249,162,7009,2016,2016-12-01
12332,275,12434,2546,10192,252,152,7010,2017,2017-07-01
12333,173,12435,2467,10792,249,292,7011,2017,2017-07-01
12334,173,12436,1511,10814,249,292,7012,2016,2016-07-01
12335,173,12437,1511,10365,249,162,7013,2016,2016-12-01
12336,173,11199,1534,11260,375,162,7014,2016,2016-01-01
12337,173,12438,1511,10297,249,162,7015,2016,2016-12-05
12338,303,12439,1511,11261,251,279,7016,2016,2016-12-20
12339,173,12440,2467,10901,249,292,7017,2017,2017-07-01
12340,303,12441,1511,11250,251,279,7018,2016,2016-12-04
12341,173,12442,1534,11262,353,389,7019,2017,2017-03-05
12342,173,12443,1534,11262,353,389,7019,2017,2017-03-05
12343,120,12444,1762,10636,273,216,7020,2017,2017-09-12
12344,278,12445,2547,10040,439,237,7021,2017,2017-01-04
12345,278,12446,2498,10040,439,237,7022,2017,2017-01-04
12346,305,12447,2498,10040,439,237,7023,2017,2017-01-04
12347,296,12448,1511,10079,314,152,7024,2017,2017-07-01
12348,303,12449,2173,10171,430,152,7025,2017,2017-07-01
12349,303,12450,1511,11250,254,152,7026,2017,2017-07-01
12350,31,12451,2537,10956,193,312,6955,2017,2017-10-16
12351,303,12452,1511,11261,251,152,7027,2017,2017-07-01
12352,303,12453,1511,11253,251,152,7028,2017,2017-07-01
12353,31,12454,2062,10111,212,264,6625,2017,2017-10-17
12354,31,12455,2400,10028,282,152,7029,2017,2017-10-12
12355,108,12456,2539,10917,222,378,7030,2017,2017-10-10
12356,306,12457,2173,10029,258,279,7031,2016,2016-12-16
12357,22,12458,2245,10028,282,252,6871,2017,2017-10-16
12358,31,12459,2188,10956,193,312,7032,2017,2017-10-16
12359,175,12460,2306,11263,210,360,7033,2017,2017-09-05
12360,41,12461,2427,10793,317,315,7034,2017,2017-10-12
12361,307,12462,2548,11264,317,325,7035,2017,2017-10-13
12362,31,12463,2188,10956,193,312,6339,2017,2017-10-16
12363,31,12464,2537,10956,193,312,6955,2017,2017-10-16
12364,118,12465,1511,11265,251,279,7036,2017,2017-07-10
12365,118,12466,1511,11232,251,279,7037,2016,2016-09-04
12366,31,12467,2537,10956,193,312,6955,2017,2017-10-16
12367,308,12468,2275,10685,353,162,7038,2016,2016-07-01
12368,261,12469,2245,10079,314,388,7039,2017,2017-09-09
12369,5,12470,1497,10435,279,396,6821,2017,2017-10-18
12370,31,12471,2549,10835,440,356,7040,2018,2017-10-18
12371,41,12472,2548,11264,317,325,7041,2017,2017-10-13
12372,41,12473,2548,11264,317,325,7035,2017,2017-10-13
12373,30,12474,2493,10029,299,388,6896,2017,2017-10-01
12374,277,12475,2376,10192,180,152,7042,2017,2017-09-20
12375,309,12476,2091,10444,261,260,7043,2017,2017-09-01
12376,310,12477,2550,10615,307,152,7044,2017,2017-10-06
12377,245,12478,2163,11266,180,291,7045,2017,2017-10-06
12378,207,12479,2467,10192,210,292,7046,2017,2017-10-01
12379,118,12480,1511,11267,249,152,7047,2017,2017-10-11
12380,118,12481,1511,11268,251,152,7048,2017,2017-10-13
12381,118,12482,1511,10308,249,152,7049,2017,2017-10-13
12382,207,12483,2400,10999,249,152,7050,2017,2017-09-01
12383,245,12484,2400,10768,180,291,7051,2017,2017-10-06
12384,41,12485,1908,10365,258,388,7052,2017,2017-10-05
12385,41,12486,1908,10165,258,197,5741,2017,2017-10-05
12386,41,12487,2225,10444,180,149,7053,2017,2017-03-01
12387,104,12488,1886,10425,256,149,7054,2017,2017-08-08
12388,139,12489,1663,10079,249,292,7055,2017,2017-06-05
12389,139,12490,1305,10711,311,292,7056,2017,2017-10-10
12390,139,12491,1305,11075,311,406,7057,2017,2017-06-09
12391,139,12492,2117,11075,311,406,7058,2017,2017-09-09
