DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
2266;;157.2 mm;720x1500;Color IPS TFT LCD display;24 bit/pixel;LED;
2267;;160 mm;1080x2220;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2268;;162.81 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2269;;149.9 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2270;;203 mm;1920x1200;Color TN-TFT LCD display;24 bit/pixel;LED;
2271;;96 mm;320x480;Color TN-TFT LCD display;16 bit/pixel;Yes;
2272;;88.9 mm;320x480;Color IPS TFT LCD display;24 bit/pixel;Yes;
2273;;155 mm;828x1792;Color IPS TFT LCD display;30 bit/pixel;LED;
2274;;86.36 mm;540x960;Color ASV TFT LCD display;24 bit/pixel;Yes;
2275;;119.4 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2276;;157.5 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;Yes;
2277;;303.7 mm;2160x1440;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2278;;157 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2279;;165.86 mm;1080x2244;Color IPS TFT LCD display;30 bit/pixel;LED;
2280;;144.8 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;LED;
2281;;148.55 mm;1125x2436;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2282;;132 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2283;;226 mm;2560x1600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2284;;177.8 mm;1024x600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2285;;152.4 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2286;;226 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2287;;177.8 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2288;;226 mm;1280x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
2289;;160 mm;1440x2960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2290;;157.48 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;Yes;
2291;;139 mm;1080x2160;Yes;24 bit/pixel;Yes;
