DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
2601;;101.6 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;Yes;
2602;;178 mm;600x1024;Color IPS TFT LCD display;24 bit/pixel;LED;
2603;;143.9 mm;1440x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2604;;144 mm;2560x1440;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2605;;127 mm;720x1280;Yes;24 bit/pixel;Yes;
2606;;126.7 mm;720x1280;Color PLS TFT LCD display;24 bit/pixel;LED;
2607;;144 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2608;;139.7 mm;1080x2048;Color ASV TFT LCD display;24 bit/pixel;Yes;
2609;;144.7 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2610;;127 mm;720x1280;Color PVA TFT LCD display;24 bit/pixel;Yes;
2611;;134 mm;1440x2560;Color ASV TFT LCD display;24 bit/pixel;LED;
2612;;144.89 mm;1440x2880;Color IPS TFT LCD display;24 bit/pixel;LED;
2613;;30 mm;390x390;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2614;;199.4 mm;1536x2048;Color IPS TFT LCD display;24 bit/pixel;Yes;
2615;;139.5 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2616;;144.7 mm;1080x1920;Color PLS TFT LCD display;24 bit/pixel;LED;
2617;;328.4 mm;2048x2732;Color IPS TFT LCD display;24 bit/pixel;LED;
2618;;101.6 mm;360x640;Color AM-OLED display;24 bit/pixel;Yes;
2619;;256 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2620;;148.59 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2621;;101.6 mm;480x800;Color TN-TFT LCD display;18 bit/pixel;Yes;
2622;;94 mm;480x854;Color TN-TFT LCD display;;Yes;
2623;;116.84 mm;720x1280;Color ASV TFT LCD display;24 bit/pixel;Yes;
2624;;139.7 mm;720x1280;Color AM-OLED display;24 bit/pixel;Yes;
2625;;130.8 mm;1080x1920;Color TN-TFT LCD display;30 bit/pixel;LED;
2626;;163.6 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2627;;144.3 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2628;;134.62 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2629;;144 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2630;;203 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;Yes;
2631;;256.54 mm;1920x1080;Color IPS TFT LCD display;24 bit/pixel;Yes;
2632;;144 mm;1440x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2633;;152.4 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2634;;35.3 mm;;Yes;24 bit/pixel;Yes;
2635;;145.03 mm;1312x2560;Color TN-TFT LCD display;24 bit/pixel;LED;
2636;;200 mm;1536x2048;Color IPS TFT LCD display;24 bit/pixel;LED;
2637;;140 mm;1080x1920;Yes;24 bit/pixel;Yes;
2638;;152 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2639;;101.6 mm;480x800;Yes;;Yes;
2640;;144.7 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2641;;138.5 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;LED;
2642;;129.5 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2643;;256 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;LED;
2644;;158.1 mm;1440x2880;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2645;;244 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;LED;
2646;;138.8 mm;1080x1920;Color PLS TFT LCD display;24 bit/pixel;LED;
2647;;134 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2648;;134 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;Yes;
2649;;144.7 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2650;;35 mm;480x480;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2651;;120.4 mm;720x1280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2652;;139.7 mm;720x1280;Color AM-OLED display;24 bit/pixel;LED;
2653;;152.4 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2654;;132.2 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2655;;146.5 mm;1440x2880;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2656;;145 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2657;;152 mm;1920x1080;Yes;24 bit/pixel;Yes;
2658;;145 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;LED;
2659;;144 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;LED;
2660;;35.5 mm;400x400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2661;;101 mm;640x1136;Color IPS TFT LCD display;24 bit/pixel;Yes;
2662;;152.4 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
2663;;114.3 mm;480x800;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2664;;102 mm;480x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
2665;;119 mm;720x1280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2666;;337.82 mm;3200x1800;Color IPS TFT LCD display;24 bit/pixel;LED;
2667;;294.64 mm;1920x1080;Color IPS TFT LCD display;24 bit/pixel;Yes;
2668;;35.3 mm;390x390;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2669;;245.8 mm;1536x2048;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2670;;152.14 mm;2160x1080;Color IPS TFT LCD display;24 bit/pixel;LED;
2671;;149.86 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2672;;119 mm;750x1334;Color IPS TFT LCD display;24 bit/pixel;LED;
2673;;145 mm;1440x2560;Color PVA TFT LCD display;24 bit/pixel;LED;
2674;;139 mm;720x1280;Yes;24 bit/pixel;LED;
