ModelID;CategoryID;Model;Codename;GeneralExtras
17101;1;Xperia E4g Dual LTE E2033;Sony Calla DS;
17102;1;Xperia E4g LTE E2003;Sony Calla SS;
17103;1;Q7-C Dual SIM TD-LTE;;
17104;1;H500 Magna / H500TR;LG Y90;
17105;1;8702D Dual SIM TD-LTE;;
17106;1;DuraForce E6762;;
17107;2;Mediapad T1 8.0 Pro 4G TD-LTE T1-823L;;
17108;1;Desire 826 Dual SIM TD-LTE D826t 8GB;HTC A52;
17109;1;Lumia 435;;
17110;1;DuraScout E6782 LTE;;
17111;1;Z90-3 Vibe Shot Dual SIM TD-LTE;;
17112;1;Digno U TD-LTE;;
17113;1;Digno C 404KC TD-LTE;;
17114;2;SM-T810 Galaxy Tab S2 9.7 WiFi 32GB;;
17115;2;SM-T710 Galaxy Tab S2 8.0 WiFi 32GB;;
17116;1;FonePad 7 FE375CL 8GB;;
17117;1;LS996 G Flex2 TD-LTE;LG Z2;
17118;1;Ascend Y540 Dual SIM;;
17119;1;ZenFone 2 Dual SIM TD-LTE ZE550ML;;
17120;1;ZenFone 2 Global LTE ZE500CL;;
17121;1;Picophone M2;;
17122;1;Picophone 2 GBC;;
17123;1;FonePad 7 FE375CL 16GB;;
17124;1;A6800 Dual SIM TD-LTE;;
17125;1;8105 TD-LTE;;
17126;1;F52 4G LTE;;
17127;2;MF97V SPro2 Smart Projector;;Built-in projector
17128;1;Elife S7 GN9006 Dual SIM TD-LTE 16GB;;
17129;1;Aqua Star L Dual SIM;;
17130;1;Vivo Y929 Dual SIM TD-LTE;;
17131;1;FP1U Dual SIM;;
17132;1;Vivo X5Max+ 4G TD-LTE;;
17133;1;HS-H910 TD-LTE;;
17134;1;Xolo Q520s Dual SIM;;
17135;1;SM-N910C Galaxy Note 4 LTE;Samsung Muscat;Active stylus
17136;1;HS-L681 Dual SIM TD-LTE;;
17137;1;H959 G Flex2 LTE-A;LG Z2;
17138;1;H955A G Flex2 LTE-A;LG Z2;
17139;1;Cosmos Force Dual SIM LTE;;
17140;1;Iris 465 Dual SIM;;
17141;1;MX4 Pro M462U TD-LTE 16GB;;
17142;2;P220U Touchbook 8.0 3G;;
17143;2;P220L Touchbook 8.0 3G;;
17144;1;P70 Dual SIM LTE;;
17145;1;Torque KC-S701 LTE;;Haptic touch feedback
17146;1;Xperia E4 Dual DTV E2124;Sony Jasmine DS;
17147;1;Xperia E4 E2105;Sony Jasmine SS;
17148;1;Xperia E4 E2104;Sony Jasmine SS;
17149;1;SM-E7009 Galaxy E7 Duos TD-LTE;;
17150;1;SM-E500YZ Galaxy E5 4G LTE;;
17151;1;FAB Elite 2.0 Dual SIM;;
17152;1;m1 note M463M Dual SIM TD-LTE 32GB;Meizu Meilan Note;Haptic touch feedback
17153;1;m1 note M463C Dual SIM CDMA 16GB;Meizu Meilan Note;Haptic touch feedback
