DeviceID,BrandID,ModelID,DisplayID,CameraID,ConnectivityID,OSID,PhysicalSpecID,ReleasedYear,ReleasedAnnounced
18002,31,18097,2336,10685,428,320,10828,2014,2014-07-01
18003,31,18098,2336,10685,428,320,10829,2014,2014-07-01
18004,31,18099,2336,10685,428,320,10830,2014,2014-07-01
18005,31,18100,2336,10685,428,320,10828,2014,2014-07-01
18006,5,18101,1498,10436,401,150,10831,2014,2014-07-01
18007,5,18102,1498,10436,250,150,2573,2014,2014-09-03
18008,308,18103,2275,11538,251,150,9441,2014,2014-07-01
18009,50,18104,2396,10079,618,320,10832,2014,2014-07-01
18010,5,18105,2877,11626,508,508,10833,2014,2014-07-01
18011,400,18106,2091,10528,250,320,10834,2014,2014-07-01
18012,5,18107,2965,11549,254,150,10835,2014,2014-07-01
18013,400,18108,3103,11639,493,150,10836,2014,2014-07-01
18014,400,18109,3103,11639,493,150,10836,2014,2014-07-01
18015,42,18110,2522,11581,493,150,10837,2014,2014-07-01
18016,42,18111,2522,11581,493,150,10837,2014,2014-07-01
18017,42,18112,2522,11581,493,150,10631,2014,2014-07-01
18018,42,18113,2522,11581,493,150,10631,2014,2014-07-01
18019,5,18114,2603,11636,254,150,10489,2014,2014-07-01
18020,481,18115,2092,11618,401,150,10838,2014,2014-07-01
18021,42,18116,2522,11581,493,150,10631,2014,2014-07-01
18022,42,18117,3026,10040,411,520,10348,2014,2014-07-01
18023,5,18118,2965,11549,254,150,9921,2014,2014-07-01
18024,400,18119,2091,10528,250,320,10803,2014,2014-07-01
18025,5,18120,2603,11636,254,150,10489,2014,2014-07-01
18026,400,18121,2091,10528,250,150,10834,2014,2014-07-01
18027,5,18122,1507,11679,249,150,10600,2014,2014-07-01
18028,107,18123,1886,10685,261,320,10839,2014,2014-07-01
18029,115,18124,2225,11690,261,405,10840,2014,2014-07-01
18030,49,18125,2947,11602,250,150,9757,2014,2014-07-01
18031,400,18126,3103,11639,428,150,10836,2014,2014-07-01
18032,118,18127,1834,10685,401,320,10841,2014,2014-07-01
18033,277,18128,2769,10079,401,477,10842,2014,2014-07-01
18034,115,18129,2148,11652,401,320,10843,2014,2014-07-01
18035,115,18130,3104,10989,401,320,10844,2014,2014-07-01
18036,115,18131,2321,10989,401,320,10845,2014,2014-07-01
18037,510,18132,1908,10528,261,320,10846,2014,2014-07-01
18038,156,18134,2933,11600,493,150,9748,2014,2014-07-01
18039,41,18135,2225,10444,261,320,10848,2014,2014-07-01
18040,41,18136,1511,10365,248,320,10849,2014,2014-07-01
18041,510,18137,2091,10528,261,320,10850,2014,2014-07-01
18042,50,18138,1834,10029,252,320,10396,2014,2014-07-01
18043,505,18139,3096,10079,375,512,10770,2014,2014-07-01
18044,156,18140,2783,11634,493,501,10164,2014,2014-07-01
18045,477,18141,3105,10040,439,520,10851,2014,2014-07-01
18046,108,18142,2679,10040,434,520,10852,2014,2014-07-01
18047,5,18143,2895,10040,464,482,10773,2014,2014-07-01
18048,156,18144,3086,10704,249,483,10705,2014,2014-07-01
18049,115,18145,2507,10079,382,320,10853,2014,2014-07-01
18050,115,18146,2091,11018,382,320,10854,2014,2014-07-01
18051,448,18147,1886,11645,251,320,10855,2014,2014-07-01
18052,396,18148,2185,10444,406,473,10856,2014,2014-07-01
18053,396,18149,1908,10365,382,320,10857,2014,2014-07-01
18054,396,18150,1511,10685,261,320,10858,2014,2014-07-01
18055,396,18151,1834,10685,251,259,10859,2014,2014-07-01
18056,108,18152,2791,10773,401,320,10777,2014,2014-07-01
18057,108,18153,2791,10773,401,320,10777,2014,2014-07-01
18058,168,18154,1886,10685,251,320,10860,2014,2014-07-01
18059,142,18155,2601,10345,382,473,10861,2014,2014-07-01
18060,225,18156,2787,11693,408,522,10862,2014,2014-07-01
18061,31,18157,2051,10434,261,477,10863,2014,2014-07-01
18062,31,18158,1511,10079,249,473,10642,2014,2014-07-01
18063,530,18159,1511,10685,249,473,10864,2014,2014-07-01
18064,536,18160,3106,10437,406,522,10865,2014,2014-07-01
18065,540,18161,2411,10079,248,320,9888,2014,2014-07-01
18066,496,18162,3107,10079,428,320,10866,2014,2014-07-01
18067,516,18163,1511,11650,387,405,10336,2014,2014-07-01
18068,5,18164,3108,10444,375,477,10867,2014,2014-07-01
18069,541,18165,2795,10079,261,320,10868,2014,2014-07-01
18070,411,18166,2857,10040,619,477,10869,2014,2014-07-01
18071,108,18167,2785,11493,493,320,10870,2014,2014-07-01
18072,42,18168,2522,11581,493,150,10631,2014,2014-07-01
