DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
1701;;165.1 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
1702;;267.2 mm;1600x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1703;;203.1 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
1704;;220.5 mm;800x1340;Color PLS TFT LCD display;24 bit/pixel;LED;
1705;;255.4 mm;1200x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
1706;1-hole;165.6 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;
1707;;212.6 mm;1920x1200;Color PLS TFT LCD display;24 bit/pixel;Yes;
1708;;158.1 mm;816x2260;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1709;;138.4 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;Yes;
1710;1-hole;174.4 mm;1440x3200;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1711;;203 mm;2480x2200;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
1712;;169.42 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
1713;;139.7 mm;720x1496;Color IPS TFT LCD display;24 bit/pixel;LED;
1714;1-hole;165 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1715;;165.1 mm;1644x3840;Color AM-OLED display;30 bit/pixel;Self-illuminating;
1716;;143.3 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
1717;1-hole;203.5 mm;1860x2480;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
1718;1-hole;166.37 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
1719;1-hole;169.41 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
1720;;166.9 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1721;1-hole;173 mm;1440x3200;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1722;1-hole;172.97 mm;1440x3200;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1723;;152.4 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
1724;;152.4 mm;1080x2520;Color IPS TFT LCD display;24 bit/pixel;LED;
1725;;165.8 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;
1726;1-hole;154.9 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1727;;169.4 mm;1080x2400;Color IPS TFT LCD display;24 bit/pixel;Yes;
1728;1-hole;157.5 mm;1440x3200;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1729;1-hole;154.94 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;Yes;
1730;;164.33 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1731;;147.32 mm;1080x2280;Color ASV TFT LCD display;30 bit/pixel;LED;
1732;;162.3 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1733;;149.3 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
1734;;132 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;LED;
1735;;144 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;LED;
1736;;138.4 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
1737;1-hole;170.2 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
1738;1-hole;162.5 mm;1080x2300;Color IPS TFT LCD display;24 bit/pixel;LED;
1739;1-hole;166.3 mm;900x1600;Color IPS TFT LCD display;24 bit/pixel;LED;
1740;1-hole;162.56 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
1741;;225.55 mm;1080x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
1742;;203.2 mm;1200x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
1743;;254 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;LED;
1744;1-hole;162.6 mm;1080x2400;Color AM-OLED display;24 bit/pixel;LED;
1745;;165.9 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1746;1-hole;165.86 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1747;1-hole;169.4 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
1748;1-hole;169.4 mm;1080x2400;Color IPS TFT LCD display;30 bit/pixel;LED;144 Hz
1749;1-hole;169.4 mm;1080x2400;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
