DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
1401;1-hole;165 mm;1080x2400;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1402;1-hole;163.3 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1403;1-hole;167 mm;1080x2460;Color IPS TFT LCD display;24 bit/pixel;LED;144 Hz
1404;1-hole;167.3 mm;1080x2412;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1405;;154.6 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;Yes;
1406;;138.4 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
1407;;165.5 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1408;1-hole;165.1 mm;1080x2400;Color IPS TFT LCD display;30 bit/pixel;LED;120 Hz
1409;1-hole;162.5 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1410;1-hole;166.6 mm;1080x2376;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1411;;145 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
1412;;165.6 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;Yes;
1413;;163.5 mm;1080x2400;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1414;;163.5 mm;1080x2404;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
1415;1-hole;166.6 mm;1080x2404;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
1416;;165.5 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1417;;155 mm;1080x2432;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
1418;1-hole;167.6 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1419;;165.9 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1420;1-hole;167 mm;1080x2460;Color AM-OLED display;24 bit/pixel;LED;90 Hz
1421;;155 mm;1080x2520;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1422;;139.7 mm;720x1496;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1423;;279 mm;1668x2388;Color IPS TFT LCD display;30 bit/pixel;LED;120 Hz
1424;;328 mm;2048x2732;Color IPS TFT LCD display;30 bit/pixel;LED;120 Hz
1425;;147.3 mm;720x1560;Color PLS TFT LCD display;24 bit/pixel;LED;60 Hz
1426;;256.54 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;LED;
1427;1-hole;165 mm;1176x2480;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1428;1-hole;163.3 mm;1080x2400;Color AM-OLED display;24 bit/pixel;LED;90 Hz
1429;;158.2 mm;832x2268;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1430;1-hole;166.3 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1431;;39.9 mm;324x394;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1432;;45.2 mm;368x448;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1433;;38.94 mm;324x394;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1434;;153.9 mm;1170x2532;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
1435;;169.7 mm;1284x2778;Color AM-OLED display;30 bit/pixel;Self-illuminating;60 Hz
1436;;167.6 mm;1080x2408;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
